operator_utterance,spot_requirement_utterance
オペレーター: 承知しました。,カスタマー: 7月、8月辺りで。
オペレーター: 北海道はー、どちらの方がー、どの辺ってゆーか、何か見たい食べたいとか、ありますか？,カスタマー: 札幌―いってー、あとはー、その近く、とかバスでとかで行けるよーなー、観光地、自然ーみたいなの、例えばラベンダー畑とか、そういうのとか、見れればいいなーってゆう。
オペレーター: ラベンダーがー、有名なのは、富良野のー公園が出てきてしまっているんですけれども、札幌からは離れているんですが、富良野も、いかがですかー？,カスタマー: 富良野行ってみたいんですよねー。ほんとにー。
オペレーター: へへへー。,カスタマー: やっぱ、何日とかーで分けて富良野とか行ってみようかなって思う。
オペレーター: さっきのワインの所も気になりますが、お風呂とかは別に入らなくて結構ですか？,カスタマー: いやーお風呂、出来れば入りたいーです。温泉とかあればいいなーって思っててー
オペレーター: 和風な感じと―、洋風な感じ、プールみたいなんもあるのと、どちらがよろしいですかねー。,カスタマー: 和風な感じがいいです。
オペレーター: あと、足湯とかがある所もあるんですが、体全身入った方がー。,カスタマー: 全身がいいです。
オペレーター: 全身がいいです。,カスタマー: 出来れば。
オペレーター: あとはですねー、なにか、お食事とかー、食べたいですかー？,カスタマー: 蟹が食べたいです。
オペレーター: 蟹料理、へへ、少々お待ち下さーい。,カスタマー: それか、海鮮丼が…別の日に海鮮丼とかでもいいですけど。海鮮丼ーも食べたいですねぇ。
オペレーター: 一応蟹でー、,カスタマー: 蟹で、お願いします。
オペレーター: お寿司し…。,カスタマー: 蟹料理がいいです。例えば、蟹のから揚げとか蟹のー天ぷらとか。
オペレーター: 工場でございますかー？,カスタマー: 北海道ってすごいー、いろんなの、物生産してるじゃないですか。お菓子とか―、ビールとかー、そうゆうなんか工場見学みたいなの、出来るとこって、工場見学とかー。
オペレーター: お醤油、こちらお醤油も作ってるみたいなんですけれども、例えば、お酒が好きであれば日本酒であったりとか、ワインが好きであればワインであったりとかー、あとはお醤油であったりとかミルクであったりとか、ってゆう感じなんですけれども、どういったものがお好きですかー？,カスタマー: あんまりー、ワインを―、母も私も飲まないので―。
オペレーター: <>,カスタマー: なのでー、ミルクとかで、お土産とかにー、そーゆー、おっ菓子みたいなのと買えたらいいなと思うので―。そういうミルク系の工場行こうかなって思います。
オペレーター: お土産とかー、他にーお店見てみますか？,カスタマー: 甘い物、スイーツ系の。お土産ー。
オペレーター: それはー、和食ー、和、風ーと洋風と、どちらがよろしいですか？,カスタマー: 洋風ですね。
オペレーター: 分かりましたー。,カスタマー: し、いろいろ、行ってみたいなって、はい。
オペレーター: ラーメンでございますか？,カスタマー: 味噌ラーメンが、食べたいなーって、思って。
オペレーター: 一応ですね、夕飯の方はいかが致しますか？,カスタマー: 夕飯、さっき言った蟹の方で、お願いしたいので。
オペレーター: ハイランドふらのでお風呂に、あに、お、行きましてー、お風呂に入りまして―、すすきのの天然温泉、をに、立ち寄りまして―、雪印メグミルクの、酪農の、乳の歴史館で、工場見学をしまして、だいもの、大丸札幌売り場の食品フロアーほっぺタウンで、お買物して、であと、北…菓子、おろ、あう、ほっかし、ホッカ、ロウで、い、札幌エスタ店に、行きまして、ラーメンの青竜、札幌蟹本店でお夕食って形でよろしいでしょうか？,カスタマー: 最初のー富良野1回キャンセルでもいいですかー？
オペレーター: よろしくお願いしますありがとうございます。ではお客様、どういったご旅行をお考えでしょうか,カスタマー: 今朝ドラ、朝ドラの影響で、おお<>に行ってみたくて
オペレーター: おお<>に行ってみたくて,カスタマー: 広いと思うので、どう、道頓堀でおいしいものたくさん、これでもかっていうくらい食べたいかなって<>と思うんですけど
オペレーター: いろいろ,カスタマー: 食いだ、食い倒れ
オペレーター: 食べるところですねー、ではお客様どうしましょう、和食洋食麺類、外国料理、いろいろありますよ、粉物も,カスタマー: 大阪<>ジャンクフードというか粉物で
オペレーター: すごい美味しそうです,カスタマー: すみません、りょ、両方でお願いします
オペレーター: 両方がよろしいですか、かしこまりました。両方食べれるお店がよいか、あるいはお好み焼きはお好み焼き、たこ焼きはたこ焼きでお召し上がりになりますか？,カスタマー: そうですね、後者の方で時間はたっぷりあるので、まずたこ焼きから、行ってからの別の<>お好み焼き、
オペレーター: お客様、どちらがよろしいですかね？,カスタマー: そうですね、まず基本のエントリーナンバー2を、<>堪能してからの、<>じゃ、邪道というか変わり種<>に行くってのもありですかね？
オペレーター: どういったお好み焼きがお好きですか？,カスタマー: お願いします、そうです、たこやき作戦と同じような感じで、まずは基本のそういう<>とかそういう基本系を堪能してからの、<>冒険、チャレンジャーとして冒険もしてみたいかなという感じで
オペレーター: 違うジャンルの食べ物でもいいかと思いますよ,カスタマー: そうですね、いまいまお話しの途中でワードとして出てきたんですけども、鉄板焼きという言葉がワードがでてきたので、チボウでお好み焼き系をしっかりマスターしたあとに、鉄板焼きで、チボウではなくてもいいんですけど、鉄板焼きのお店なんか、い、いか焼き、いか焼きとかそういうてっ<>とかあれば、教えてください。
オペレーター: 同じように神戸牛とかですね、シェフの方がジュージュー焼くようなおいしそうな鉄板焼きもございまして、どっちのほうがよろしいですか？,カスタマー: そうですね、大阪なので、<>というのは排除していただいて、ジャンクの方で、
オペレーター: 他何か小麦粉以外で一か所選んでおきませんか？,カスタマー: そうですね、そうですね、今日はジャ、ジャンキーデーにしようと思っていたので、結構味が濃いものが続いたので、ぽんぽこ亭と夕飯の合間に甘味処があれば、まぁ<>、こちらでは、東京ではないような、
オペレーター: お客様、ようはローカルな感じのお店が良いということですよね。,カスタマー: そうですそうです。もうどっちでも和でも洋でもどっちでもいいんですけど、おねがいします。
オペレーター: こんにちは。本日はご利用いただきましてありがとうございます。お客様、どのようなご旅行をお考えでしょうか。,カスタマー: 京都周辺を、冬の季節に、恋人と2人で行きたいなというふうに思っています。
オペレーター: あとですね、他にですね、京都に行かれまして、どこか行きたいですとか、見、食べてみたいですとか、そういったところはございますか？,カスタマー: あえてちょっと冬っていう季節を指定した<>けど。夏場だと結構川床とか有名だと思うんですが。京都。
オペレーター: 左様でございますね。,カスタマー: 京都の冬ならではの何か、観光場所に1個行きたいなと思っていて。例えばその料理でもいいですし、そうですね、観光スポットでもいいんですけど。何か冬っていうシーズンならではの、ものがあれば教えていただけたらと思います。
オペレーター: 観光スポット、遊ぶとかですよね。,カスタマー: あとはスキー場とか、まあ京都ないかもしれないです、スキーとかスケートとか。あとは雪。京都っていってもなんだろう。縦に長いと思うんですけど、雪が降る。降りやすい地域とかもいいかなーと思います。
オペレーター: ありがとうございます。あと他にですね、どこか見てみたいですとか、食べてみたいですとか、こ、そういったご要望はございますか？,カスタマー: あとは京都といえばやはり寺院とか仏閣かと思いますので。山程あると思うんですけど、<>訪ねるからにはやはりちょっと最低一箇所はそういった場所で参拝もしたいなと思っています。
オペレーター: で、そうですね、お客様は、冬に行かれるとのことですよね。,カスタマー: そうです。あえてちょっと寒い季節に、訪ねようとしているんですけれども。
オペレーター: はい、ただいまですね、お客様何か和食とか、洋食とかはその京都ならではの料理ですとか、そういったご要望とかはございますか？,カスタマー: そうですね、せっかくなので、京料理を味わいたいと思います。
オペレーター: 色々あるんですよね。ほんとに。,カスタマー: あはは。悩ましいんですが、冬なので、鉄板焼きがちょっとあっ、体があったかくなれそうでいいなと思いました。
オペレーター: とんでもないです。あとですね、何かお土産とか、何か買われますよね。,カスタマー: そうですね、お土産もやっぱり旅行行ったからには、買いたいです。
オペレーター: お客様、どのようなご旅行ご希望ですか？,カスタマー: 今年の7月に、家族4人で、北海道に行きたいって考えてるんですけど。
オペレーター: かしこまりました。ご家族様4人で北海道旅行ですね。,カスタマー: はい。
オペレーター: 具体的な、ご要望とかはございますか？,カスタマー: ひとつ、海鮮が食べたいっていうのだけあるんですけど。
オペレーター: お客様、お寿司はお好きですか？,カスタマー: 好きです。
オペレーター: でー、よろしければ、こちらご案内いたしますけれども。,カスタマー: お願いします。
オペレーター: なかなか珍しく、よろしいかと思うんですけれども。,カスタマー: はい。
オペレーター: じゃ、候補の1つとして、押さえておきますね。,カスタマー: はい。お願いします。
オペレーター: そちらもご案内いたしましょうか？,カスタマー: はい、お願いします。
オペレーター: 一応候補の1つとして、置いておきますね。,カスタマー: お願いします。
オペレーター: 蟹シューマイがおすすめって書いてありますね。,カスタマー: 食べたい。食べてみたいです。
オペレーター: 先ほどのお店と、割と近いところにございますね。,カスタマー: どうですか？入りやすそうな方が、フフ、いいんですけど。
オペレーター: フフ。,カスタマー: ワイワイできるような雰囲気のほうが良いなーと思って、いま聞いたんですけど。
オペレーター: じゃ、こちら、なかむらさんは、じゃ、外しておきますね、じゃあ。,カスタマー: はい、すいません。
オペレーター: 大自然…。,カスタマー: 乗馬とか、フフ、お花がすごい、見れる場所とか、なんかあるのかなーと思ったんですけど。
オペレーター: こちらもひとつ、候補の1つとして押さえておきますね。,カスタマー: はい。
オペレーター: かなり広いですねー、,カスタマー: フフフフ、そういうとこに行きたいなと思ってたんですよ。
オペレーター: じゃ、こちらも1つ、候補の1つとして、,カスタマー: お願いします。
オペレーター: 8月上旬までサクランボ狩りができるそうなんですね。,カスタマー: やってみたいです。
オペレーター: もしよろしければ、,カスタマー: そこも是非、候補にしたいです。
オペレーター: お客様、ふ、船とか大丈夫ですか？,カスタマー: 大丈夫です。
オペレーター: あとなにか、ほかに、見たいところですとか、食べたいもの買いたいものとか、そういったご要望はございますか？,カスタマー: 北海道の美味しい食べ物をお土産に買いたいと思っていて。
オペレーター: こちらも、なかなかよろしいかと思うんですけど。,カスタマー: 行ってみたいです。
オペレーター: ラーメン屋さんというところで、詳しく調べてみますか？,カスタマー: お願いします。
オペレーター: 全国からファンが集まる、集まるのも納得の1杯が満喫できると書いてあ<>。ハハハ。,カスタマー: せっかくなら、なんかそういう、有名な？お店に、行ってみたいです。
オペレーター: そうですね。じゃあ、この味噌ラーメンの、よし乃さんをお勧めいたしたいですね。,カスタマー: そこを、じゃあ、候補に。フフフフ。
オペレーター: そうそう、ハハハ。で、こちら赤と白味噌、赤味噌、白味噌、をブレンドしてー。なかなかコクのある味わいだそうです。,カスタマー: こだわりの味？三代目の。ここ、食べてみたいな。
オペレーター: 辛いの、あんまり、駄目ですか？苦手ですか？,カスタマー: 父は辛いのが好きなんですけど、私があんまり、得意じゃないので。
オペレーター: そうですか、そしたら、,カスタマー: 両方あるほうがいいな…フフ。
オペレーター: ええ、ええ。なので、よし乃さんではなくて、三代目のほうがよろしい感じですね。,カスタマー: そっちにしておきたいです。フフ。
オペレーター: あとなにか、ほかに、見てみたいですとか、食べてみたいものとか、ご要望はございますか？,カスタマー: ソフトクリーム？牧場とかで、搾りたてのーみたいな、フフ、ありますかね？
オペレーター: パフェ？パフェとかに、アイスクリームも有名ですね。,カスタマー: そこ行きたいです。
オペレーター: アイスクリームやデザートが楽しめると書かれてありますね。,カスタマー: まさにそういうのを求めてました。フフフフ。
オペレーター: フフ。それがそうですねー。,カスタマー: 食べてみたい。どう…せっかくなら。
オペレーター: 雪印パーラー本店さんですね。,カスタマー: 行きたいです、そこ。
オペレーター: よろしくお願いいたします。今回のご旅行はどちらの方面をご希望ですか？,カスタマー: 広島県に行きたいなと思ってるんですけれども。
オペレーター: ご人数様は何人ぐらいでご予定ですか？,カスタマー: 全部で5人です。
オペレーター: 5人様。ご家族とかご友人とか決まってますか？,カスタマー: 家族で、5人です。
オペレーター: お父さんお母さんと子供達みたいな感じでよろしいでしょうか？,カスタマー: 私たち家族4人と、あと子供が2人なんですけども。少し高齢の祖母1人で5人です。
オペレーター: 季節とかは何かご希望はございますか？,カスタマー: 夏で考えてるんですけれども。
オペレーター: 夏の広島ということで。何かやってみたいとか行ってみたいとかいう場所はございますか？,カスタマー: 広いと思うんですけど、尾道ってところに行ってみたくって。
オペレーター: なに、尾道ではどんなことをされたいですか？,カスタマー: ちょっと何があるのかもよく分からないんですけど、散歩したり、景色を見たり。美味しいものとかも食べれたらって思ってるんですけど。
オペレーター: そちらはいかがですか？,カスタマー: いいですね、私が、海がちょっと見たいなーと思ったりして。
オペレーター: 公園とかよりは、何か、見て歩いた方がいいですかね？足が、歩くのが大変というようであれば、少し座って何かできるようなところは、いかがですか？,カスタマー: ゆっくりだったら歩けるんですけどもー、座ってっていうのがあったら、そういうプランも、教えてもらえたらありがたいです。
オペレーター: <>…,カスタマー: プランは、祖母と私に合わせてるので、食べ物は、ちょっと男性たちの好みの洋食でお願いします。
オペレーター: いま、この3つが、ちょっと出てきてるんですが。この、カレーであったりパスタであったりっていうほうが良ければ、こっちの初めの2つは、カレーとか、あとパスタなんですけれども、はっきりしてるんですが、いかがですか？,カスタマー: みんな良さそうなんですけど、2番目のアップルパイってお店。
オペレーター: アップルスパイスでございますね。,カスタマー: アップルスパイス、そうです、フフフ、
オペレーター: それともラーメンの方がよろしいですか？,カスタマー: せっかくなんで尾道ラーメン、食べてみたいですね。
オペレーター: 夏ですよね。,カスタマー: 夏ですよね。
オペレーター: 郷土料理が出てこないんですけど、,カスタマー: 意外に、無いのかもしれないし。一般的な、みんなが好きなものがある、居酒屋とかでも良いんですけど。
オペレーター: では、早速なんですけども、今回、ご旅行先、どちらになりますか。,カスタマー: まだ行ったことのない鹿児島県にー。どことは決まってないんですけど行ってみたい。
オペレーター: 季節はいつ頃、予定されてますか？,カスタマー: 秋なんかがいいかな。
オペレーター: 何か、これ、やりたいねっていうのがあってって形でしょうか？,カスタマー: 特には。屋久島には、だ、行ってみたいなあ、なんて思ってます。
オペレーター: 屋久島で何か具体的にっていうのは、特にはお決まりではないって形ですか？,カスタマー: あそこの大きな木があるって友人から聞いてますんで。古い大木ですか、それはぜひ見たいなと思ってますね。
オペレーター: どういった系がよろしいですか？,カスタマー: 川の、川のきれいなとこがいいですね。
オペレーター: どうだろう、海、海よりは川のほうがいいですか？,カスタマー: あと、近くに小島があったら行ってみたいなと思うんですけど。
オペレーター: 小島ですね。,カスタマー: ちっちゃい島、すぐ回れちゃうような。
オペレーター: 他に見たいものとか。,カスタマー: 対馬にも行ってみたいことは行ってみたいですねー。
オペレーター: どのようなご旅行を<>ご希望でしょうか？,カスタマー: 友人と絵画展に行くんですけどー、京都関西地方がいい、な、行き、できれば、京都って<>。
オペレーター: ごゆ、ご友人とはお二人で、よ？,カスタマー: そうですね、二人で。
オペレーター: 季節的にはー、季節はー？,カスタマー: いつでもいいんですけどー、4月か5月ぐらいかな。
オペレーター: 9月か5月？,カスタマー: 4月か5月。
オペレーター: 少々お待ちくださいませ。,カスタマー: 別、絵画展でなくてもー、また、あっちの方は、美術館とか割と多いのは割と知っていいので、京都も、前に住んでたこ、ことがあるのでー、それもあるのでー。
オペレーター: 京都ですので、日本画とかお茶とかってものが、結構多いですよね。,カスタマー: そういうとこ行きたい…だからー、2つ目ー、なんとこな、大丸ミュージアム？
オペレーター: お食事とか、いかがですかー？,カスタマー: 食事はねえ、ま京料理っていうのが有名だと思うので、そっちの方、なんか体験できそうな、とこがあればね。
オペレーター: お買い物？,カスタマー: あんま、そういう、京都って、だから大阪ーにも近いと思うのでー。大阪にもい、行ってみてもいいかなっていう気がするます。
オペレーター: じゃあ、大阪に行ってみますか？,カスタマー: 大阪ー、ねえ？何だっけ？たこ焼きとかー、お好み焼きとか。あとー。
オペレーター: じゃ、ちょっとたこ焼きでー。,カスタマー: そう、たこ焼きー、つうかまあ安い、あそこのうどん、く、食べたいなっていう、な、難波の。
オペレーター: うどんでございますか？,カスタマー: うどんの薄味のやつ。なんだけど、ははっ。
オペレーター: 新大阪では、ないんですか？,カスタマー: 新大阪とか、新大阪と、梅田とか、
オペレーター: ミナミ。,カスタマー: ミナミ、ミナミでもいい、ミナミでもいい。道頓堀でも、道頓堀。
オペレーター: 串カツとか、,カスタマー: 心斎橋とかー、梅田から心斎橋って割と歩いてもそんなに、と…。
オペレーター: 今検索かけてます。,カスタマー: 一応、向こうは本場なので、お笑いの。まあちょっと、あるなあれあ、あれだったら行ってみようかなー、っていう。
オペレーター: 食べたいものとか、見たいもの、買いたいものとか。,カスタマー: 大阪…ま、まだ、京都でもいいし。
オペレーター: 早速なんですけども、行先…、決まってれば、まず、教えてい…、ください。,カスタマー: 沖縄…県ですね。
オペレーター: っていうのはもう、おき…、ありますか？,カスタマー: 一度～、母親とはー、那覇を、中心にー、旅行をーしているんですけれどもー、今回はですねー。
オペレーター: そう<>。,カスタマー: どちらかという地元の人がー、行くーような、お店？、であるとかー、レストラン、陶芸とか。
オペレーター: うんうんうーん。,カスタマー: 母が好きなんでー、
オペレーター: ああ陶芸か。,カスタマー: そういった所にー、行きたいなーと、思ってます。
オペレーター: 食べー物、から、お調べしますか。陶芸の方が良いですか。,カスタマー: 食べ物からー。
オペレーター: 日に…、日取り、日取りというか、季節とかー、週末行く平日行くとかっていうのは、お決まりですか？,カスタマー: 春頃～…、予定してましてー、木曜日と金曜日をー休みを取ったのでー、木曜日からー、日曜日までー、居るつもりなのでー、平日～と休日両方考えてます。
オペレーター: おっそっばっとっかは。食べーられますか。,カスタマー: 沖縄そばー、是非～、美味しいの食べたいですねー。
オペレーター: どうしましょう、もうちょっとお調べする、か、それっとも…。陶～芸…、の方、お探ししますか。,カスタマー: 四店舗探して頂いたのでー、まずそちらの方を行ってみたいなーって思いますのでー、陶芸の方を、検索頂けますでしょうか。
オペレーター: で…、で、たまっ…、どうしましょう、他にも、何か。,カスタマー: 見学みたいな、こともしたいなーと思って、てー。
オペレーター: ビール…、ビール工場的な…。っていう、こと…。,カスタマー: そうですねー、あれば是非～…、行ってみたいなー…。
オペレーター: お土産とかにも買って帰ったりとか…。,カスタマー: もしービール工場みたいな見学出来てー、そこでー、限定のビールなんて買えたらー、良いなーなんて思って<>、ねー。
オペレーター: ありがとうございます。では、行先等はだいたいどちらかお決まりですか？,カスタマー: まだはっきりは決めてないんですけどー、東北地方のー、そうだな宮城とか、その辺の温泉地でー、一泊でのんびりしたいと思ってるんですけどー
オペレーター: では、こちら行く季節はお決まりでしょうか？,カスタマー: 近いうちなんで、もう冬ですよね、今って、
オペレーター: かしこまりました。,カスタマー: 行きやすいところがいいです。
オペレーター: では、何名様でのご旅行になりますでしょうか？,カスタマー: 女性一人なんですけどー
オペレーター: 例えば、ホテルのような施設が良いか、あるいは旅館のような良いか―、どちらかご都合はございますか？,カスタマー: どっちかっていうと旅館のほうがいいですね。
オペレーター: <>そうなんですよ、ちょっと寒いかなという心配ありますのでー,カスタマー: そしたら、なるべく館内で<>ようなところが<>いいですね。
オペレーター: そうですね、そうなりますとー、どうでしょう、お客様、例えば博物館とか美術館<>,カスタマー: <>美術館とかは好きなんで
オペレーター: はい、市太郎の湯を温泉をお楽しみいただきまして、その前後に宮城県美術館の方をご覧になってお楽しみになるという方向でいかがでしょうか？,カスタマー: そうですね、メインは、滞在することなんで、ゆっくりと、空いた時間があったら、美術館も行ってみるっていう感じにしようかと思います。
オペレーター: かしこまりました。では、お客様、苦手な食べ物とかはございませんか？,カスタマー: ウニとかね、トロとか、そういうのは食べないんです、私。
オペレーター: ではですね、こちらお代金なんですけれども―、お客様やはり、コースのようなものをお考えでしょうか？,カスタマー: 料金によってなんですけどー、
オペレーター: では、お客様、お昼はいかがいたしましょう？夜はお魚ですけれども,カスタマー: お昼はですねえ、そのときによって考えこ、ようかなと思ってんだけど
オペレーター: お客様どういったジャンルをお考えですか？,カスタマー: 定食みたいなのでいいんですけどー。
オペレーター: ではどうでしょう、定食のなかで洋食がよろしいでしょうか、それとも和食、あるいは<>なるほど,カスタマー: 難しいですね、そのときの気分なんでー、
オペレーター: 本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行をお考えでしょうか？,カスタマー: 温泉…とかに入って、リラックスして、あと懐石料理を楽しみたいなっていう、目的があって、どういう所が良いかなっていうご相談をさせてほしいです。
オペレーター: あ～、かしこまりました。お客様、一緒に行かれる方は何名になりますか？,カスタマー: そうですね、4人か5人、結構大人数で行きたいなっていう風に、
オペレーター: さようでございますか。4、5人ですね。かしこまりました。行かれる時期はいつ頃になりますでしょうか？,カスタマー: 秋頃を予定してます、
オペレーター: 秋頃でございますね、かしこまりました。北は北海道から南は沖縄までございますけれども、例えばどちら方面とかそういったご要望はございますか？,カスタマー: 関東近辺に住んでいて、関東の周辺は結構行ったことがあるので、関東以外だったら良いかなって思ってるんですけど。まだ西とかあんま行ったことがないので、西日本にそういう場所があれば、温泉とかだと寒いところとかの方があったりするイメージがあるので、
オペレーター: なのでもしよろしければこちらも、紅葉を見て…楽しむのもよろしいんじゃないかなと思います。,カスタマー: それも候補に入れさせていただきます。
オペレーター: あと何かお客様、食べてみたいものとか買いたいものですとか、見てみたいものとかご要望ございますか？,カスタマー: 鳥取ってことだったので。昔の建築物みたいなの興味があるので。出雲が近いのかなって思うんですけど。出雲大社とか。も寄りたいなって思うんですけど。
オペレーター: お客様はどちらへご旅行なさいますか？,カスタマー: 今のところ九州を予定しております。
オペレーター: では、いつ頃ご旅行なさいますか？,カスタマー: 春を予定してます。
オペレーター: お客様今回九州に行ってみたいと思われたということで、またどうして九州という風に思いつか。,カスタマー: それは、自分の親の出身地がながさ、長崎なんですね。
オペレーター: ええ、ええ、,カスタマー: なので、長崎もしくは九州の他の県を比較して、相談した上で決めたいなと思いました。
オペレーター: 何市とかございましたら、こちらで。,カスタマー: まず子供が楽しめる場所がいいですかね。あるいは、
オペレーター: そういったものございますけれど、何かお好みの場所ってありますでしょうか。,カスタマー: アトラクシャン、アトラクションも楽しみつつ、自然を感じられる場所。
オペレーター: あるいは、お食事とかお買い物の場所を探すか、どちらがよろしいですか？,カスタマー: 食事の場所を長崎詳しくないので、調べていただきたいです。
オペレーター: こちらお選びいただいておりますけれども、他にお客様何かご希望はございますか？,カスタマー: きれいな景色が見られる場所がいいです。
オペレーター: あるいは実際に海の近くに行って何か景色を見るような場所、どちらがよろしいですか？,カスタマー: 山がいいですね。
オペレーター: ではお客様、お買い物の場所とかは大丈夫ですか？,カスタマー: お土産とかがやっぱり欲しいですね。
オペレーター: どうでしょうか。,カスタマー: 自分が買うものをちょっと探したいです。
オペレーター: ご興味あったかと思うんですけど、いかがですか？,カスタマー: そのステンドグラスの方がいいですね。
オペレーター: 他にお客様何かお知りおきいただきたいことございますでしょうか。,カスタマー: 夜ご飯とかで食べれる場所を探したいです。
オペレーター: ありがとうございます。そうしますとちょうどですね、長崎ちゃんぽんの店と、皿うどんの店。,カスタマー: 両方がいいです。
オペレーター: どちらへご旅行なさるかお考えはございますか？,カスタマー: 京都の方に行きたいんですけど、
オペレーター: では京都にいつ頃ご旅行なさいますか？,カスタマー: できれば初夏に近くて本当に春って言う感じ。
オペレーター: どちらがよろしいでしょうか？,カスタマー: よく修学旅行で訪れるような所じゃないー、エリアで、あまり観光地らしくない、お寺巡りをしたいなと思ったんですけど。
オペレーター: なるほど。,カスタマー: 決めたんですけど、でも今のお話だと嵐山の方？中心部からやっぱりちょっとはずれた。そういう所をそぞろ歩きしながらー。見る方を選びたいなと思います。
オペレーター: そういった事も考えられますけれども、いかが致しましょうか？,カスタマー: その、そのお寺の周辺の自然を、た、少し楽しみつつ確か京都って。バスとかもそこ通ってる<>ですので、また違うお寺も行ってみたいと思います。
オペレーター: どのようなご希望御座いますか？,カスタマー: できればテレビで見るとかよくみんなが行くって言うよりは、鄙びた、大小は関係なくなんかこう。仏像様をじっくり堪能してみるとか。なんか、本当庭園が、日本庭園みたいな庭がいいとか。そんなような所が良いです、
オペレーター: そうですね、神社も結構ございまして、お客様お寺の方をご希望ということですよね、神社ではなくて。,カスタマー: でも神社でもお薦めのものがあれば、
オペレーター: 決めておりませんので、どちらかお探し致しますがいかがでしょうか？,カスタマー: じゃあ昼食を、
オペレーター: 或いは旦那様どういったものが苦手ですとか、お客様ご自身がこういったものが苦手ですとか、ございましたら教えて頂けますか？,カスタマー: そういうのは特にないんですけれども、京都ならではの、し、あんまり、しゃちほこばったって所じゃなくって、ゆっくりお豆腐を楽しむとか、おいしい春のお魚を楽しむとかそんな感じで。
オペレーター: ではお客様どちらになさいますか？先程の定食系のお店がよいか、或いは今申し上げましたこちら名前がですね、京料理卯柳先斗町花と言います。,カスタマー: せっかく行ったんだからー、その川を、川の流れを愛でながらお食事するというのを、ちょっとやってみたいです。
オペレーター: お客さま、どのようなご旅行をご希望でしょうか？,カスタマー: 一人で、静かなところに行きたいなあと思ってまして。
オペレーター: いつ頃、行かれる予定ですか？,カスタマー: 春先にちょっと時間ができるんで、なんかその、2月3月そのぐらいで、例えば、分かんないですけど、例えば山奥の温泉みたいなことがいいのか。
オペレーター: ええ、,カスタマー: そこにこだわらなくても例えばこんなところありますよーみたいなことがあればと思ってるんですけど。
オペレーター: ご興味ございますか？,カスタマー: 桜。ま、あまり人混みでなければっていうか。今回は
オペレーター: ありますか？どちら方面とか。,カスタマー: 例えば群馬とかでもいいし。<>思い切って、いし、石川県とか、金沢だと街だけど、もうちょっと、奥まったところみたいなとこでもいいかもしれないし、とか。
オペレーター: いしか、あと、石川県辺りとかですかね、北陸方面。,カスタマー: 例えば七尾とか？
オペレーター: はい、,カスタマー: は、羽咋なんかでも。
オペレーター: 体験。,カスタマー: 民芸品の、あれでもいいんですけど手作りなんとかみたいな。ウフッフ。指、動かして物作りみたいなのができるとこってないかなあと、おも、今、おも、思いついたんですけどね、
オペレーター: あと何か食べたいものですとか。,カスタマー: あれかな？やっぱり、ヤリイカとかホタルイ、ホタルイカだっけ？
オペレーター: そういったのは、ご興味ございますか？,カスタマー: そういうのが、おいしいところがあれば。
オペレーター: お写真、見せられないのが残念なんですけれども、すてきな。,カスタマー: 画面共有で、ぜひ見せてほしかったんですけど。フフフフフフフー。
オペレーター: 旅行先や人数など、お決まりであれば最初にお伺いしてもいいですか？,カスタマー: 春先なんですけど、北陸の方ですね。石川県で、はい。
オペレーター: 北陸ですか。,カスタマー: 富山とか福井とか、そのあたりをまとめてくれると、一人旅に。
オペレーター: 一人旅、北陸、富山って仰ってましたっけ？富山と。,カスタマー: そうですね、北陸三県。あの辺を重点的に車とか借りて。回れればいいかなと。
オペレーター: 車で。,カスタマー: 3日4日休もうかと思って、要は1日で一つの県をぐるーっとこう。回っていこうかなみたいな。
オペレーター: うんうん。,カスタマー: もしぐるっと一つの県回れないんだったら。海沿いで。富山、石川、福井みたいなところを<>。回っていけたらいいのかなと思ってまして。
オペレーター: なるほど。,カスタマー: もしそのところどころに。有名な温泉どころとかあったら。一つの県に1箇所ずつ温泉入ってくーみたいな。そういう感じメインかなと、
オペレーター: 例えばどういう温泉がいいとか。,カスタマー: 効能とかはそこまで求めてないんで。風景ですかね、例えばその海が背景になっている露天風呂だったりとか。綺麗な、山が見えるような露天風呂とか。
オペレーター: なるほど。,カスタマー: 秘湯じゃないですけど、そういう、非日常みたいな。ところとかが感じられたらいいなと。
オペレーター: ここはかなり良いかなという。,カスタマー: 基本1日動いて夜に入れたらいいかとは思ったんですけど、
オペレーター: そうですよね。,カスタマー: そういうところを短い時間で。ちょっと入って。その後ゆっくりくつろげるところでもう1回。その泊まるところとか、泊まる前とかで
オペレーター: どっちを。,カスタマー: うんうん。そこに行きながら、途中でなんか食べたりとか。
オペレーター: うんうん。そこに行きながら、途中でなんか食べたりとか。,カスタマー: そもそもその途中の風景も楽しめると思うんで、いっぱい別に、あのー動物園とか見るわけじゃないから。いいのかなと思ってますけどね。
オペレーター: 一応食べる方をお調べしてみましょうか。,カスタマー: そうですね、はい、1人なんで自分の好きなもので色々。興味あるものがあればですけど。
オペレーター: 好き嫌いとかは大丈夫ですか？,カスタマー: そうですね、精進料理みたいなところとかはあんま興味ないんで。肉っぽいやつとか、B級グルメとかで全然。
オペレーター: それを使った蕎麦とか。,カスタマー: でも山菜だったらまだ海鮮とかのがいいですかね。
オペレーター: 富山、石川？,カスタマー: そうですね、富山の隣の石川とか、
